date;Argentina;Argentina
22/01/2020;0;0
23/01/2020;0;0
24/01/2020;0;0
25/01/2020;0;0
26/01/2020;0;0
27/01/2020;0;0
28/01/2020;0;0
29/01/2020;0;0
30/01/2020;0;0
31/01/2020;0;0
01/02/2020;0;0
02/02/2020;0;0
03/02/2020;0;0
04/02/2020;0;0
05/02/2020;0;0
06/02/2020;0;0
07/02/2020;0;0
08/02/2020;0;0
09/02/2020;0;0
10/02/2020;0;0
11/02/2020;0;0
12/02/2020;0;0
13/02/2020;0;0
14/02/2020;0;0
15/02/2020;0;0
16/02/2020;0;0
17/02/2020;0;0
18/02/2020;0;0
19/02/2020;0;0
20/02/2020;0;0
21/02/2020;0;0
22/02/2020;0;0
23/02/2020;0;0
24/02/2020;0;0
25/02/2020;0;0
26/02/2020;0;0
27/02/2020;0;0
28/02/2020;0;0
29/02/2020;0;0
01/03/2020;0;0
02/03/2020;0;0
03/03/2020;2.20848E-08;1
04/03/2020;0;0
05/03/2020;0;0
06/03/2020;2.20848E-08;1
07/03/2020;1.32509E-07;6
08/03/2020;8.83392E-08;4
09/03/2020;0;0
10/03/2020;1.10424E-07;5
11/03/2020;4.41696E-08;2
12/03/2020;0;0
13/03/2020;2.65018E-07;12
14/03/2020;6.62544E-08;3
15/03/2020;2.42933E-07;11
16/03/2020;2.42933E-07;11
17/03/2020;2.65018E-07;12
18/03/2020;2.42933E-07;11
19/03/2020;3.97527E-07;18
20/03/2020;6.84629E-07;31
21/03/2020;6.62544E-07;30
22/03/2020;2.38516E-06;108
23/03/2020;7.72968E-07;35
24/03/2020;1.89929E-06;86
25/03/2020;0;0
26/03/2020;2.53975E-06;115
27/03/2020;1.92138E-06;87
28/03/2020;2.23057E-06;101
29/03/2020;1.21466E-06;55
30/03/2020;1.65636E-06;75
31/03/2020;5.16784E-06;234
01/04/2020;0;0
02/04/2020;1.7447E-06;79
03/04/2020;2.91519E-06;132
04/04/2020;4.10777E-06;186
05/04/2020;0;0
06/04/2020;2.27473E-06;103
07/04/2020;1.63428E-06;74
08/04/2020;1.92138E-06;87
09/04/2020;1.76678E-06;80
10/04/2020;3.97527E-06;180
11/04/2020;0;0
12/04/2020;3.68816E-06;167
13/04/2020;1.4576E-06;66
14/04/2020;1.52385E-06;69
15/04/2020;3.66608E-06;166
16/04/2020;2.82686E-06;128
17/04/2020;2.16431E-06;98
18/04/2020;1.96555E-06;89
19/04/2020;1.78887E-06;81
20/04/2020;2.25265E-06;102
21/04/2020;1.98763E-06;90
22/04/2020;2.49558E-06;113
23/04/2020;6.42668E-06;291
