date,b_limp,b_sujo
22/01/2020,0,0
23/01/2020,0,0
24/01/2020,0,0
25/01/2020,0,0
26/01/2020,0,0
27/01/2020,0,0
28/01/2020,0,0
29/01/2020,0,0
30/01/2020,0,0
31/01/2020,0,0
01/02/2020,0,0
02/02/2020,0,0
03/02/2020,0,0
04/02/2020,0,0
05/02/2020,0,0
06/02/2020,0,0
07/02/2020,0,0
08/02/2020,0,0
09/02/2020,0,0
10/02/2020,0,0
11/02/2020,0,0
12/02/2020,0,0
13/02/2020,0,0
14/02/2020,0,0
15/02/2020,0,0
16/02/2020,0,0
17/02/2020,0,0
18/02/2020,0,0
19/02/2020,0,0
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,0,0
24/02/2020,0,0
25/02/2020,0,0
26/02/2020,1,1
27/02/2020,0,0
28/02/2020,0,0
29/02/2020,1,1
01/03/2020,0,0
02/03/2020,0,0
03/03/2020,0,0
04/03/2020,2,2
05/03/2020,0,0
06/03/2020,9,9
07/03/2020,0,0
08/03/2020,7,7
09/03/2020,5,5
10/03/2020,6,6
11/03/2020,7,7
12/03/2020,14,14
13/03/2020,99,99
14/03/2020,0,0
15/03/2020,11,11
16/03/2020,38,38
17/03/2020,121,121
18/03/2020,51,51
19/03/2020,249,249
20/03/2020,172,172
21/03/2020,228,228
22/03/2020,525,525
23/03/2020,378,378
24/03/2020,323,323
25/03/2020,307,307
26/03/2020,431,431
27/03/2020,432,432
28/03/2020,487,487
29/03/2020,352,352
30/03/2020,323,323
31/03/2020,1138,1138
01/04/2020,1119,1119
02/04/2020,1208,1208
03/04/2020,1012,1012
04/04/2020,1304,1304
05/04/2020,770,770
06/04/2020,1031,1031
07/04/2020,1873,1873
08/04/2020,2136,2136
09/04/2020,1922,1922
10/04/2020,1546,1546
11/04/2020,1089,1089
12/04/2020,1465,1465
13/04/2020,1238,1238
14/04/2020,1832,1832
15/04/2020,3058,3058
16/04/2020,2105,2105
17/04/2020,3257,3257
18/04/2020,2976,2976
19/04/2020,1996,1996
20/04/2020,2089,2089
21/04/2020,2336,2336
22/04/2020,2678,2678
23/04/2020,4279,4279
24/04/2020,4007,4007
25/04/2020,5281,5281
26/04/2020,3776,3776
27/04/2020,4346,4346
28/04/2020,5789,5789
29/04/2020,6450,6450
30/04/2020,7502,7502
01/05/2020,5015,5015
02/05/2020,4898,4898
03/05/2020,4726,4726
04/05/2020,6794,6794
05/05/2020,6835,6835
06/05/2020,11156,11156
07/05/2020,9162,9162
08/05/2020,11121,11121
09/05/2020,9167,9167
10/05/2020,6638,6638
