date;Brazil;Brazil
22/01/2020;0;0
23/01/2020;0;0
24/01/2020;0;0
25/01/2020;0;0
26/01/2020;0;0
27/01/2020;0;0
28/01/2020;0;0
29/01/2020;0;0
30/01/2020;0;0
31/01/2020;0;0
01/02/2020;0;0
02/02/2020;0;0
03/02/2020;0;0
04/02/2020;0;0
05/02/2020;0;0
06/02/2020;0;0
07/02/2020;0;0
08/02/2020;0;0
09/02/2020;0;0
10/02/2020;0;0
11/02/2020;0;0
12/02/2020;0;0
13/02/2020;0;0
14/02/2020;0;0
15/02/2020;0;0
16/02/2020;0;0
17/02/2020;0;0
18/02/2020;0;0
19/02/2020;0;0
20/02/2020;0;0
21/02/2020;0;0
22/02/2020;0;0
23/02/2020;0;0
24/02/2020;0;0
25/02/2020;0;0
26/02/2020;4.70367E-09;1
27/02/2020;0;0
28/02/2020;0;0
29/02/2020;4.70367E-09;1
01/03/2020;0;0
02/03/2020;0;0
03/03/2020;0;0
04/03/2020;9.40734E-09;2
05/03/2020;0;0
06/03/2020;4.2333E-08;9
07/03/2020;0;0
08/03/2020;3.29257E-08;7
09/03/2020;2.35183E-08;5
10/03/2020;2.8222E-08;6
11/03/2020;3.29257E-08;7
12/03/2020;6.58514E-08;14
13/03/2020;4.65663E-07;99
14/03/2020;0;0
15/03/2020;5.17404E-08;11
16/03/2020;1.78739E-07;38
17/03/2020;5.69144E-07;121
18/03/2020;2.39887E-07;51
19/03/2020;1.17121E-06;249
20/03/2020;8.09031E-07;172
21/03/2020;1.07244E-06;228
22/03/2020;2.46943E-06;525
23/03/2020;1.77799E-06;378
24/03/2020;1.51929E-06;323
25/03/2020;1.44403E-06;307
26/03/2020;2.02728E-06;431
27/03/2020;2.03198E-06;432
28/03/2020;2.29069E-06;487
29/03/2020;1.65569E-06;352
30/03/2020;1.51929E-06;323
31/03/2020;5.35278E-06;1138
01/04/2020;5.26341E-06;1119
02/04/2020;5.68203E-06;1208
03/04/2020;4.76011E-06;1012
04/04/2020;6.13358E-06;1304
05/04/2020;3.62183E-06;770
06/04/2020;4.84948E-06;1031
07/04/2020;8.80997E-06;1873
08/04/2020;1.0047E-05;2136
09/04/2020;9.04045E-06;1922
10/04/2020;7.27187E-06;1546
11/04/2020;5.1223E-06;1089
12/04/2020;6.89087E-06;1465
13/04/2020;5.82314E-06;1238
14/04/2020;8.61712E-06;1832
15/04/2020;1.43838E-05;3058
16/04/2020;9.90122E-06;2105
17/04/2020;1.53198E-05;3257
18/04/2020;1.39981E-05;2976
19/04/2020;9.38852E-06;1996
20/04/2020;9.82596E-06;2089
