date,South Korea,South Korea
22/01/2020,,
23/01/2020,0,0
24/01/2020,1,1
25/01/2020,0,0
26/01/2020,1,1
27/01/2020,1,1
28/01/2020,0,0
29/01/2020,0,0
30/01/2020,0,0
31/01/2020,7,7
01/02/2020,1,1
02/02/2020,3,3
03/02/2020,0,0
04/02/2020,1,1
05/02/2020,3,3
06/02/2020,4,4
07/02/2020,1,1
08/02/2020,0,0
09/02/2020,1,1
10/02/2020,2,2
11/02/2020,1,1
12/02/2020,0,0
13/02/2020,0,0
14/02/2020,0,0
15/02/2020,0,0
16/02/2020,1,1
17/02/2020,1,1
18/02/2020,1,1
19/02/2020,0,0
20/02/2020,73,73
21/02/2020,100,100
22/02/2020,229,229
23/02/2020,169,169
24/02/2020,231,231
25/02/2020,144,144
26/02/2020,284,284
27/02/2020,505,505
28/02/2020,571,571
29/02/2020,813,813
01/03/2020,586,586
02/03/2020,599,599
03/03/2020,851,851
04/03/2020,435,435
05/03/2020,467,467
06/03/2020,505,505
07/03/2020,448,448
08/03/2020,273,273
09/03/2020,164,164
10/03/2020,35,35
11/03/2020,242,242
12/03/2020,114,114
13/03/2020,110,110
14/03/2020,107,107
15/03/2020,76,76
16/03/2020,74,74
17/03/2020,84,84
18/03/2020,93,93
19/03/2020,152,152
20/03/2020,87,87
21/03/2020,147,147
22/03/2020,162,162
23/03/2020,0,0
24/03/2020,76,76
25/03/2020,100,100
26/03/2020,104,104
27/03/2020,91,91
28/03/2020,146,146
29/03/2020,105,105
30/03/2020,78,78
31/03/2020,125,125
01/04/2020,101,101
02/04/2020,89,89
03/04/2020,86,86
04/04/2020,94,94
05/04/2020,81,81
06/04/2020,47,47
07/04/2020,47,47
08/04/2020,53,53
09/04/2020,39,39
10/04/2020,27,27
11/04/2020,30,30
12/04/2020,32,32
13/04/2020,25,25
14/04/2020,27,27
15/04/2020,27,27
16/04/2020,22,22
17/04/2020,22,22
18/04/2020,18,18
19/04/2020,8,8
20/04/2020,13,13
21/04/2020,9,9
22/04/2020,11,11
23/04/2020,14,14
24/04/2020,10,10
25/04/2020,10,10
26/04/2020,10,10
27/04/2020,14,14
28/04/2020,9,9
29/04/2020,4,4
30/04/2020,9,9
01/05/2020,6,6
02/05/2020,13,13
03/05/2020,8,8
04/05/2020,3,3
05/05/2020,2,2
06/05/2020,4,4
07/05/2020,12,12
08/05/2020,18,18
09/05/2020,34,34
10/05/2020,35,35
11/05/2020,27,27
12/05/2020,26,26
13/05/2020,29,29
14/05/2020,27,27
15/05/2020,19,19
16/05/2020,13,13
17/05/2020,15,15
18/05/2020,13,13
19/05/2020,32,32
20/05/2020,12,12
21/05/2020,20,20
22/05/2020,23,23
23/05/2020,25,25
24/05/2020,16,16
25/05/2020,19,19
26/05/2020,40,40
27/05/2020,79,79
28/05/2020,58,58
29/05/2020,39,39
30/05/2020,27,27
31/05/2020,35,35
01/06/2020,38,38
02/06/2020,49,49
03/06/2020,39,39
04/06/2020,39,39
05/06/2020,51,51
06/06/2020,57,57
07/06/2020,38,38
08/06/2020,38,38
09/06/2020,50,50
10/06/2020,45,45
11/06/2020,56,56
12/06/2020,48,48
13/06/2020,34,34
14/06/2020,36,36
15/06/2020,34,34
16/06/2020,43,43
17/06/2020,59,59
18/06/2020,49,49
19/06/2020,67,67
20/06/2020,48,48
21/06/2020,17,17
22/06/2020,46,46
23/06/2020,51,51
24/06/2020,28,28
25/06/2020,39,39
26/06/2020,51,51
27/06/2020,62,62
28/06/2020,42,42
29/06/2020,43,43
30/06/2020,50,50
01/07/2020,54,54
02/07/2020,63,63
03/07/2020,63,63
04/07/2020,61,61
05/07/2020,46,46
06/07/2020,44,44
07/07/2020,63,63
08/07/2020,49,49
09/07/2020,45,45
10/07/2020,35,35
11/07/2020,44,44
12/07/2020,62,62
13/07/2020,33,33
14/07/2020,39,39
15/07/2020,61,61
16/07/2020,60,60
17/07/2020,39,39
18/07/2020,34,34
19/07/2020,26,26
20/07/2020,45,45
21/07/2020,63,63
22/07/2020,59,59
23/07/2020,41,41
24/07/2020,113,113
25/07/2020,58,58
26/07/2020,25,25
27/07/2020,28,28
28/07/2020,48,48
29/07/2020,18,18
30/07/2020,36,36
31/07/2020,31,31
01/08/2020,30,30
02/08/2020,23,23
03/08/2020,34,34
04/08/2020,33,33
05/08/2020,43,43
06/08/2020,20,20
07/08/2020,43,43
08/08/2020,36,36
09/08/2020,28,28
10/08/2020,34,34
11/08/2020,54,54
12/08/2020,56,56
13/08/2020,103,103
14/08/2020,166,166
15/08/2020,279,279
16/08/2020,197,197
17/08/2020,246,246
18/08/2020,297,297
19/08/2020,288,288
20/08/2020,324,324
21/08/2020,332,332
22/08/2020,397,397
23/08/2020,266,266
24/08/2020,280,280
25/08/2020,320,320
26/08/2020,441,441
27/08/2020,371,371
28/08/2020,323,323
29/08/2020,299,299
30/08/2020,248,248
31/08/2020,235,235
01/09/2020,267,267
02/09/2020,195,195
03/09/2020,198,198
04/09/2020,168,168
05/09/2020,167,167
06/09/2020,119,119
07/09/2020,136,136
08/09/2020,156,156
09/09/2020,155,155
10/09/2020,176,176
11/09/2020,136,136
12/09/2020,121,121
13/09/2020,109,109
14/09/2020,106,106
15/09/2020,113,113
16/09/2020,153,153
17/09/2020,126,126
18/09/2020,110,110
19/09/2020,82,82
20/09/2020,70,70
21/09/2020,61,61
22/09/2020,110,110
23/09/2020,125,125
24/09/2020,114,114
25/09/2020,61,61
26/09/2020,95,95
27/09/2020,50,50
