date;d_limp;d_sujo;;;
22/01/2020;;;;;
23/01/2020;;;;;
24/01/2020;2;2;;;
25/01/2020;1;1;;;
26/01/2020;0;0;;;
27/01/2020;0;0;;;
28/01/2020;1;1;;;
29/01/2020;1;1;;;
30/01/2020;0;0;;;
31/01/2020;0;0;;;
01/02/2020;1;1;;;
02/02/2020;0;0;;;
03/02/2020;0;0;;;
04/02/2020;0;0;;;
05/02/2020;0;0;;;
06/02/2020;0;0;;;
07/02/2020;0;0;;;
08/02/2020;5;5;;;
09/02/2020;0;0;;;
10/02/2020;0;0;;;
11/02/2020;0;0;;;
12/02/2020;0;0;;;
13/02/2020;0;0;;;
14/02/2020;0;0;;;
15/02/2020;1;1;;;
16/02/2020;0;0;;;
17/02/2020;0;0;;;
18/02/2020;0;0;;;
19/02/2020;0;0;;;
20/02/2020;0;0;;;
21/02/2020;0;0;;;
22/02/2020;0;0;;;
23/02/2020;0;0;;;
24/02/2020;0;0;;;
25/02/2020;2;2;;;
26/02/2020;4;4;;;
27/02/2020;20;20;;;
28/02/2020;19;19;;;
29/02/2020;43;43;;;
01/03/2020;30;30;;;
02/03/2020;61;61;;;
03/03/2020;21;21;;;
04/03/2020;76;76;;;
05/03/2020;138;138;;;
06/03/2020;190;190;;;
07/03/2020;332;332;;;
08/03/2020;177;177;;;
09/03/2020;286;286;;;
10/03/2020;372;372;;;
11/03/2020;510;510;;;
12/03/2020;0;0;;;
13/03/2020;1385;1385;;;
14/03/2020;815;815;;;
15/03/2020;36;36;;;
16/03/2020;2151;2151;;;
17/03/2020;1032;1032;;;
18/03/2020;1409;1409;;;
19/03/2020;1841;1841;;;
20/03/2020;1783;1783;;;
21/03/2020;1699;1699;;;
22/03/2020;2295;2295;;;
23/03/2020;3355;3355;;;
24/03/2020;2243;2243;;;
25/03/2020;2955;2955;;;
26/03/2020;3916;3916;;;
27/03/2020;3792;3792;;;
28/03/2020;4648;4648;;;
29/03/2020;2603;2603;;;
30/03/2020;4343;4343;;;
31/03/2020;7635;7635;;;
01/04/2020;4843;4843;;;
02/04/2020;2100;2100;;;
03/04/2020;5223;5223;;;
04/04/2020;;;;;
05/04/2020;846;846;;;
06/04/2020;2658;2658;;;
07/04/2020;;;;;
08/04/2020;3851;3851;;;
09/04/2020;3784;3784;;;
10/04/2020;1566;1566;;;
11/04/2020;1445;1445;;;
12/04/2020;50745;50745;;;
13/04/2020;3139;3139;;;
14/04/2020;17448;17448;;;
15/04/2020;3207;3207;;;
16/04/2020;12578;12578;;;
17/04/2020;1891;1891;;;
18/04/2020;3804;3804;;;
19/04/2020;1094;1094;;;
20/04/2020;2446;2446;;;
21/04/2020;2666;2666;;;
22/04/2020;1798;1798;;;
23/04/2020;;;;;
24/04/2020;2811;2811;;;
25/04/2020;1678;1678;;;
26/04/2020;633;633;;;
