date;Italy;Italy;;
22-jan-20;0;0;;0
23-jan-20;0;0;;
24-jan-20;0;0;;
25-jan-20;0;0;;
26-jan-20;0;0;;
27-jan-20;0;0;;
28-jan-20;0;0;;
29-jan-20;0;0;;
30-jan-20;0;0;;
31-jan-20;3.35852E-08;2;;
01-fev-20;0;0;;
02-fev-20;0;0;;
03-fev-20;0;0;;
04-fev-20;0;0;;
05-fev-20;0;0;;
06-fev-20;0;0;;
07-fev-20;1.67926E-08;1;;
08-fev-20;0;0;;
09-fev-20;0;0;;
10-fev-20;0;0;;
11-fev-20;0;0;;
12-fev-20;0;0;;
13-fev-20;0;0;;
14-fev-20;0;0;;
15-fev-20;0;0;;
16-fev-20;0;0;;
17-fev-20;0;0;;
18-fev-20;0;0;;
19-fev-20;0;0;;
20-fev-20;0;0;;
21-fev-20;2.85474E-07;17;;
22-fev-20;7.0529E-07;42;;
23-fev-20;1.56171E-06;93;;
24-fev-20;1.24265E-06;74;;
25-fev-20;1.56171E-06;93;;
26-fev-20;2.19983E-06;131;;
27-fev-20;3.39211E-06;202;;
28-fev-20;3.91268E-06;233;;
29-fev-20;4.03023E-06;240;;
01-mar-20;9.50462E-06;566;;
02-mar-20;5.74307E-06;342;;
03-mar-20;7.82536E-06;466;;
04-mar-20;9.85726E-06;587;;
05-mar-20;1.29135E-05;769;;
06-mar-20;1.30647E-05;778;;
07-mar-20;2.09404E-05;1247;;
08-mar-20;2.50546E-05;1492;;
09-mar-20;3.01763E-05;1797;;
10-mar-20;1.64064E-05;977;;
11-mar-20;3.88413E-05;2313;;
12-mar-20;4.45172E-05;2651;;
13-mar-20;4.27708E-05;2547;;
14-mar-20;5.87238E-05;3497;;
15-mar-20;6.02855E-05;3590;;
16-mar-20;5.42905E-05;3233;;
17-mar-20;5.92107E-05;3526;;
18-mar-20;7.06465E-05;4207;;
19-mar-20;8.93703E-05;5322;;
20-mar-20;0.000100521;5986;;
21-mar-20;0.000110109;6557;;
22-mar-20;9.33669E-05;5560;;
23-mar-20;8.04198E-05;4789;;
24-mar-20;8.81444E-05;5249;;
25-mar-20;8.74895E-05;5210;;
26-mar-20;0.000104165;6203;;
27-mar-20;9.92275E-05;5909;;
28-mar-20;0.000100319;5974;;
29-mar-20;8.76071E-05;5217;;
30-mar-20;6.80101E-05;4050;;
31-mar-20;6.80605E-05;4053;;
01-abr-20;8.03023E-05;4782;;
02-abr-20;7.83879E-05;4668;;
03-abr-20;7.69941E-05;4585;;
04-abr-20;8.06885E-05;4805;;
05-abr-20;7.24769E-05;4316;;
06-abr-20;6.04366E-05;3599;;
07-abr-20;5.10327E-05;3039;;
08-abr-20;6.44165E-05;3836;;
09-abr-20;7.05961E-05;4204;;
10-abr-20;6.63476E-05;3951;;
11-abr-20;7.88245E-05;4694;;
12-abr-20;6.87154E-05;4092;;
13-abr-20;5.29471E-05;3153;;
14-abr-20;4.99076E-05;2972;;
15-abr-20;4.47859E-05;2667;;
16-abr-20;6.35768E-05;3786;;
17-abr-20;5.86566E-05;3493;;
18-abr-20;5.8623E-05;3491;;
19-abr-20;5.11671E-05;3047;;
20-abr-20;3.78841E-05;2256;;
21-abr-20;4.5827E-05;2729;;
22-abr-20;5.65911E-05;3370;;
23-abr-20;4.44332E-05;2646;;
24-abr-20;5.07305E-05;3021;;
25-abr-20;3.95802E-05;2357;;
26-abr-20;3.9026E-05;2324;;
27-abr-20;2.92024E-05;1739;;
28-abr-20;3.51134E-05;2091;;
29-abr-20;3.50294E-05;2086;;
30-abr-20;3.14358E-05;1872;;
01-mai-20;3.29975E-05;1965;;
02-mai-20;3.1906E-05;1900;;
03-mai-20;2.33249E-05;1389;;
04-mai-20;2.05038E-05;1221;;
05-mai-20;1.80521E-05;1075;;
06-mai-20;2.42485E-05;1444;;
07-mai-20;2.35264E-05;1401;;
08-mai-20;2.22838E-05;1327;;
09-mai-20;1.81864E-05;1083;;
10-mai-20;1.34677E-05;802;;
11-mai-20;1.24937E-05;744;;
12-mai-20;2.35432E-05;1402;;
13-mai-20;1.49118E-05;888;;
14-mai-20;1.66583E-05;992;;
15-mai-20;1.32494E-05;789;;
16-mai-20;1.46935E-05;875;;
17-mai-20;1.1335E-05;675;;
18-mai-20;7.57347E-06;451;;
19-mai-20;1.36524E-05;813;;
20-mai-20;1.11671E-05;665;;
