date,d_limp,d_sujo
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-25,,
2020-01-26,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,2,2
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,1,1
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,17,17
2020-02-22,42,42
2020-02-23,93,93
2020-02-24,74,74
2020-02-25,93,93
2020-02-26,131,131
2020-02-27,202,202
2020-02-28,233,233
2020-02-29,240,240
2020-03-01,566,566
2020-03-02,342,342
2020-03-03,466,466
2020-03-04,587,587
2020-03-05,769,769
2020-03-06,778,778
2020-03-07,1247,1247
2020-03-08,1492,1492
2020-03-09,1797,1797
2020-03-10,977,977
2020-03-11,2313,2313
2020-03-12,2651,2651
2020-03-13,2547,2547
2020-03-14,3497,3497
2020-03-15,3590,3590
2020-03-16,3233,3233
2020-03-17,3526,3526
2020-03-18,4207,4207
2020-03-19,5322,5322
2020-03-20,5986,5986
2020-03-21,6557,6557
2020-03-22,5560,5560
2020-03-23,4789,4789
2020-03-24,5249,5249
2020-03-25,5210,5210
2020-03-26,6203,6203
2020-03-27,5909,5909
2020-03-28,5974,5974
2020-03-29,5217,5217
2020-03-30,4050,4050
2020-03-31,4053,4053
2020-04-01,4782,4782
2020-04-02,4668,4668
2020-04-03,4585,4585
2020-04-04,4805,4805
2020-04-05,4316,4316
2020-04-06,3599,3599
2020-04-07,3039,3039
2020-04-08,3836,3836
2020-04-09,4204,4204
2020-04-10,3951,3951
2020-04-11,4694,4694
2020-04-12,4092,4092
2020-04-13,3153,3153
2020-04-14,2972,2972
2020-04-15,2667,2667
2020-04-16,3786,3786
2020-04-17,3493,3493
2020-04-18,3491,3491
2020-04-19,3047,3047
2020-04-20,2256,2256
2020-04-21,2729,2729
2020-04-22,3370,3370
2020-04-23,2646,2646
2020-04-24,3021,3021
2020-04-25,2357,2357
2020-04-26,2324,2324
2020-04-27,1739,1739
2020-04-28,2091,2091
2020-04-29,2086,2086
2020-04-30,1872,1872
2020-05-01,1965,1965
2020-05-02,1900,1900
2020-05-03,1389,1389
2020-05-04,1221,1221
2020-05-05,1075,1075
2020-05-06,1444,1444
2020-05-07,1401,1401
2020-05-08,1327,1327
2020-05-09,1083,1083
2020-05-10,802,802
2020-05-11,744,744
2020-05-12,1402,1402
2020-05-13,888,888
2020-05-14,992,992
2020-05-15,789,789
2020-05-16,875,875
2020-05-17,675,675
2020-05-18,451,451
2020-05-19,813,813
2020-05-20,665,665
2020-05-21,642,642
2020-05-22,652,652
2020-05-23,669,669
2020-05-24,531,531
2020-05-25,300,300
2020-05-26,397,397
2020-05-27,584,584
2020-05-28,593,593
2020-05-29,516,516
2020-05-30,416,416
2020-05-31,333,333
2020-06-01,200,200
2020-06-02,318,318
2020-06-03,321,321
2020-06-04,177,177
2020-06-05,518,518
2020-06-06,270,270
2020-06-07,197,197
2020-06-08,280,280
2020-06-09,283,283
2020-06-10,202,202
2020-06-11,379,379
2020-06-12,163,163
2020-06-13,346,346
2020-06-14,338,338
2020-06-15,301,301
2020-06-16,210,210
2020-06-17,328,328
2020-06-18,331,331
2020-06-19,,
2020-06-20,264,264
2020-06-21,224,224
2020-06-22,221,221
2020-06-23,113,113
2020-06-24,577,577
2020-06-25,296,296
2020-06-26,255,255
2020-06-27,175,175
2020-06-28,174,174
2020-06-29,126,126
2020-06-30,142,142
2020-07-01,182,182
2020-07-02,201,201
2020-07-03,223,223
2020-07-04,235,235
2020-07-05,192,192
2020-07-06,208,208
2020-07-07,137,137
2020-07-08,193,193
2020-07-09,214,214
2020-07-10,276,276
2020-07-11,188,188
2020-07-12,234,234
2020-07-13,169,169
2020-07-14,114,114
2020-07-15,162,162
2020-07-16,230,230
2020-07-17,231,231
2020-07-18,249,249
2020-07-19,218,218
2020-07-20,190,190
2020-07-21,128,128
2020-07-22,280,280
2020-07-23,306,306
2020-07-24,252,252
2020-07-25,274,274
2020-07-26,254,254
2020-07-27,168,168
2020-07-28,202,202
2020-07-29,288,288
2020-07-30,382,382
2020-07-31,379,379
2020-08-01,295,295
2020-08-02,238,238
2020-08-03,159,159
2020-08-04,190,190
2020-08-05,384,384
2020-08-06,401,401
2020-08-07,552,552
2020-08-08,347,347
2020-08-09,463,463
2020-08-10,259,259
2020-08-11,412,412
2020-08-12,476,476
2020-08-13,522,522
2020-08-14,574,574
2020-08-15,629,629
2020-08-16,477,477
2020-08-17,320,320
2020-08-18,401,401
2020-08-19,642,642
2020-08-20,840,840
2020-08-21,947,947
2020-08-22,1071,1071
2020-08-23,1209,1209
2020-08-24,953,953
2020-08-25,876,876
2020-08-26,1366,1366
2020-08-27,1409,1409
2020-08-28,1460,1460
2020-08-29,1444,1444
2020-08-30,1365,1365
2020-08-31,996,996
2020-09-01,975,975
2020-09-02,1326,1326
2020-09-03,1397,1397
2020-09-04,1732,1732
2020-09-05,1694,1694
2020-09-06,1296,1296
2020-09-07,1150,1150
2020-09-08,1369,1369
2020-09-09,1430,1430
2020-09-10,1597,1597
2020-09-11,1616,1616
2020-09-12,1501,1501
2020-09-13,1456,1456
2020-09-14,1008,1008
2020-09-15,1229,1229
2020-09-16,1452,1452
2020-09-17,1583,1583
2020-09-18,1907,1907
2020-09-19,1637,1637
2020-09-20,1587,1587
2020-09-21,1350,1350
2020-09-22,1391,1391
2020-09-23,1640,1640
2020-09-24,1786,1786
2020-09-25,1912,1912
2020-09-26,1869,1869
2020-09-27,1766,1766
2020-09-28,1494,1494
2020-09-29,1647,1647
2020-09-30,1850,1850
2020-10-01,2548,2548
2020-10-02,2499,2499
2020-10-03,2843,2843
2020-10-04,2578,2578
2020-10-05,2257,2257
2020-10-06,2677,2677
2020-10-07,3677,3677
2020-10-08,4458,4458
2020-10-09,5372,5372
2020-10-10,5724,5724
2020-10-11,5456,5456
2020-10-12,4619,4619
2020-10-13,5898,5898
2020-10-14,7332,7332
2020-10-15,8803,8803
2020-10-16,10009,10009
2020-10-17,10925,10925
2020-10-18,11705,11705
2020-10-19,9337,9337
2020-10-20,10871,10871
2020-10-21,15199,15199
2020-10-22,16078,16078
2020-10-23,19143,19143
2020-10-24,19640,19640
2020-10-25,21273,21273
2020-10-26,17007,17007
2020-10-27,21989,21989
2020-10-28,24988,24988
2020-10-29,26829,26829
2020-10-30,31079,31079
2020-10-31,31756,31756
2020-11-01,29905,29905
2020-11-02,22253,22253
2020-11-03,28241,28241
2020-11-04,30548,30548
2020-11-05,34502,34502
2020-11-06,37802,37802
2020-11-07,39809,39809
2020-11-08,32614,32614
2020-11-09,25269,25269
2020-11-10,35090,35090
2020-11-11,32961,32961
2020-11-12,37977,37977
2020-11-13,40902,40902
2020-11-14,37249,37249
2020-11-15,33977,33977
2020-11-16,27352,27352
2020-11-17,32191,32191
2020-11-18,34280,34280
2020-11-19,36176,36176
2020-11-20,37239,37239
2020-11-21,34764,34764
2020-11-22,28337,28337
2020-11-23,22927,22927
2020-11-24,23227,23227
2020-11-25,25852,25852
2020-11-26,29001,29001
2020-11-27,28342,28342
2020-11-28,26315,26315
2020-11-29,20646,20646
2020-11-30,16376,16376
2020-12-01,19347,19347
2020-12-02,20709,20709
2020-12-03,23219,23219
2020-12-04,24110,24110
2020-12-05,21052,21052
2020-12-06,18887,18887
2020-12-07,13679,13679
2020-12-08,14837,14837
2020-12-09,12755,12755
2020-12-10,16998,16998
2020-12-11,18726,18726
2020-12-12,19902,19902
2020-12-13,17937,17937
2020-12-14,12025,12025
2020-12-15,14839,14839
2020-12-16,17568,17568
2020-12-17,18233,18233
2020-12-18,15401,15401
2020-12-19,16305,16305
2020-12-20,15102,15102
2020-12-21,10869,10869
2020-12-22,13316,13316
2020-12-23,13908,13908
2020-12-24,18039,18039
2020-12-25,19037,19037
2020-12-26,10405,10405
2020-12-27,8937,8937
2020-12-28,8581,8581
2020-12-29,11210,11210
2020-12-30,16202,16202
2020-12-31,23477,23477
2021-01-01,22210,22210
2021-01-02,11825,11825
2021-01-03,14245,14245
2021-01-04,10798,10798
2021-01-05,15375,15375
2021-01-06,20326,20326
2021-01-07,18416,18416
2021-01-08,17529,17529
2021-01-09,19976,19976
2021-01-10,18625,18625
2021-01-11,12530,12530
2021-01-12,14242,14242
2021-01-13,15773,15773
2021-01-14,17243,17243
2021-01-15,16144,16144
2021-01-16,16310,16310
2021-01-17,12544,12544
2021-01-18,8825,8825
2021-01-19,10496,10496
2021-01-20,13568,13568
2021-01-21,14055,14055
2021-01-22,13633,13633
2021-01-23,13331,13331
2021-01-24,11628,11628
2021-01-25,8559,8559
2021-01-26,10584,10584
2021-01-27,15191,15191
2021-01-28,14360,14360
2021-01-29,13563,13563
2021-01-30,12713,12713
2021-01-31,11249,11249
2021-02-01,7925,7925
2021-02-02,9651,9651
2021-02-03,13182,13182
2021-02-04,13656,13656
2021-02-05,14213,14213
2021-02-06,13439,13439
2021-02-07,11640,11640
2021-02-08,7969,7969
2021-02-09,10612,10612
2021-02-10,12947,12947
2021-02-11,15137,15137
2021-02-12,13893,13893
2021-02-13,13523,13523
2021-02-14,11060,11060
2021-02-15,7344,7344
2021-02-16,10368,10368
2021-02-17,12066,12066
2021-02-18,13755,13755
2021-02-19,15470,15470
2021-02-20,14914,14914
2021-02-21,13450,13450
2021-02-22,9617,9617
2021-02-23,13299,13299
2021-02-24,16402,16402
2021-02-25,19871,19871
2021-02-26,20488,20488
2021-02-27,18902,18902
2021-02-28,17440,17440
2021-03-01,13106,13106
2021-03-02,17063,17063
2021-03-03,20840,20840
2021-03-04,22845,22845
2021-03-05,24010,24010
2021-03-06,23633,23633
2021-03-07,20724,20724
2021-03-08,13882,13882
2021-03-09,19725,19725
2021-03-10,22275,22275
2021-03-11,25649,25649
2021-03-12,26790,26790
2021-03-13,26031,26031
2021-03-14,21304,21304
2021-03-15,15252,15252
2021-03-16,20376,20376
2021-03-17,23040,23040
2021-03-18,24901,24901
2021-03-19,25707,25707
2021-03-20,23913,23913
2021-03-21,20045,20045
2021-03-22,24501,24501
2021-03-23,18739,18739
2021-03-24,21246,21246
2021-03-25,23681,23681
2021-03-26,24076,24076
2021-03-27,23834,23834
2021-03-28,19604,19604
2021-03-29,12900,12900
2021-03-30,16055,16055
2021-03-31,23887,23887
2021-04-01,22184,22184
2021-04-02,21917,21917
2021-04-03,21247,21247
2021-04-04,18017,18017
2021-04-05,10680,10680
2021-04-06,7763,7763
2021-04-07,13686,13686
2021-04-08,17209,17209
2021-04-09,18924,18924
2021-04-10,17551,17551
2021-04-11,15737,15737
2021-04-12,9780,9780
2021-04-13,13439,13439
2021-04-14,16160,16160
2021-04-15,16963,16963
2021-04-16,15923,15923
2021-04-17,15364,15364
2021-04-18,12688,12688
2021-04-19,8863,8863
2021-04-20,12069,12069
2021-04-21,13836,13836
2021-04-22,16046,16046
2021-04-23,14758,14758
2021-04-24,13814,13814
2021-04-25,13157,13157
2021-04-26,8440,8440
2021-04-27,10398,10398
2021-04-28,13382,13382
2021-04-29,14314,14314
2021-04-30,13445,13445
2021-05-01,12964,12964
2021-05-02,9145,9145
2021-05-03,5946,5946
2021-05-04,9113,9113
2021-05-05,10579,10579
2021-05-06,11798,11798
2021-05-07,10549,10549
2021-05-08,10174,10174
2021-05-09,8289,8289
2021-05-10,5077,5077
2021-05-11,6943,6943
2021-05-12,7848,7848
2021-05-13,8082,8082
2021-05-14,7562,7562
2021-05-15,6652,6652
2021-05-16,5748,5748
2021-05-17,3454,3454
2021-05-18,4449,4449
2021-05-19,5500,5500
2021-05-20,5736,5736
2021-05-21,5215,5215
2021-05-22,4714,4714
2021-05-23,3993,3993
2021-05-24,2489,2489
2021-05-25,3220,3220
2021-05-26,3935,3935
2021-05-27,4143,4143
2021-05-28,3737,3737
2021-05-29,3348,3348
2021-05-30,2948,2948
2021-05-31,1818,1818
2021-06-01,2483,2483
2021-06-02,2896,2896
2021-06-03,1963,1963
2021-06-04,2556,2556
2021-06-05,2434,2434
2021-06-06,2275,2275
2021-06-07,1270,1270
2021-06-08,1894,1894
2021-06-09,2198,2198
2021-06-10,2078,2078
2021-06-11,1892,1892
2021-06-12,1722,1722
2021-06-13,1390,1390
2021-06-14,907,907
2021-06-15,1253,1253
2021-06-16,1400,1400
2021-06-17,1323,1323
2021-06-18,1147,1147
2021-06-19,1193,1193
2021-06-20,881,881
2021-06-21,484,484
2021-06-22,834,834
2021-06-23,1140,1140
2021-06-24,266,266
2021-06-25,751,751
2021-06-26,838,838
2021-06-27,780,780
2021-06-28,387,387
2021-06-29,677,677
2021-06-30,776,776
2021-07-01,879,879
2021-07-02,794,794
2021-07-03,929,929
2021-07-04,806,806
2021-07-05,480,480
2021-07-06,907,907
2021-07-07,1010,1010
2021-07-08,1391,1391
2021-07-09,1386,1386
2021-07-10,1394,1394
2021-07-11,1391,1391
2021-07-12,887,887
2021-07-13,1530,1530
2021-07-14,2153,2153
2021-07-15,2473,2473
2021-07-16,2895,2895
2021-07-17,3118,3118
2021-07-18,3126,3126
2021-07-19,2070,2070
