date,Korea,Korea_s
22/01/2020,,
23/01/2020,0,0
24/01/2020,10,10
25/01/2020,0,0
26/01/2020,10,10
27/01/2020,10,10
28/01/2020,0,0
29/01/2020,0,0
30/01/2020,0,0
31/01/2020,70,70
01/02/2020,10,10
02/02/2020,30,30
03/02/2020,0,0
04/02/2020,10,10
05/02/2020,30,30
06/02/2020,40,40
07/02/2020,10,10
08/02/2020,0,0
09/02/2020,10,10
10/02/2020,20,20
11/02/2020,10,10
12/02/2020,0,0
13/02/2020,0,0
14/02/2020,0,0
15/02/2020,0,0
16/02/2020,10,10
17/02/2020,10,10
18/02/2020,10,10
19/02/2020,0,0
20/02/2020,730,730
21/02/2020,1000,1000
22/02/2020,2290,2290
23/02/2020,1690,1690
24/02/2020,2310,2310
25/02/2020,1440,1440
26/02/2020,2840,2840
27/02/2020,5050,5050
28/02/2020,5710,5710
29/02/2020,8130,8130
01/03/2020,5860,5860
02/03/2020,5990,5990
03/03/2020,8510,8510
04/03/2020,4350,4350
05/03/2020,4670,4670
06/03/2020,5050,5050
07/03/2020,4480,4480
08/03/2020,2730,2730
09/03/2020,1640,1640
10/03/2020,350,350
11/03/2020,2420,2420
12/03/2020,1140,1140
13/03/2020,1100,1100
14/03/2020,1070,1070
15/03/2020,760,760
16/03/2020,740,740
17/03/2020,840,840
18/03/2020,930,930
19/03/2020,1520,1520
20/03/2020,870,870
21/03/2020,1470,1470
22/03/2020,1620,1620
23/03/2020,0,0
24/03/2020,760,760
25/03/2020,1000,1000
26/03/2020,1040,1040
27/03/2020,910,910
28/03/2020,1460,1460
29/03/2020,1050,1050
30/03/2020,780,780
31/03/2020,1250,1250
01/04/2020,1010,1010
02/04/2020,890,890
03/04/2020,860,860
04/04/2020,940,940
05/04/2020,810,810
06/04/2020,470,470
07/04/2020,470,470
08/04/2020,530,530
09/04/2020,390,390
10/04/2020,270,270
11/04/2020,300,300
12/04/2020,320,320
13/04/2020,250,250
14/04/2020,270,270
15/04/2020,270,270
16/04/2020,220,220
17/04/2020,220,220
18/04/2020,180,180
19/04/2020,80,80
20/04/2020,130,130
21/04/2020,90,90
22/04/2020,110,110
23/04/2020,140,140
24/04/2020,100,100
25/04/2020,100,100
26/04/2020,100,100
27/04/2020,140,140
28/04/2020,90,90
29/04/2020,40,40
30/04/2020,90,90
01/05/2020,60,60
02/05/2020,130,130
03/05/2020,80,80
04/05/2020,30,30
05/05/2020,20,20
06/05/2020,40,40
07/05/2020,120,120
08/05/2020,180,180
09/05/2020,340,340
10/05/2020,350,350
11/05/2020,270,270
12/05/2020,260,260
13/05/2020,290,290
14/05/2020,270,270
15/05/2020,190,190
16/05/2020,130,130
17/05/2020,150,150
18/05/2020,130,130
19/05/2020,320,320
20/05/2020,120,120
21/05/2020,200,200
22/05/2020,230,230
23/05/2020,250,250
24/05/2020,160,160
25/05/2020,190,190
26/05/2020,400,400
27/05/2020,790,790
28/05/2020,580,580
29/05/2020,390,390
30/05/2020,270,270
31/05/2020,350,350
01/06/2020,380,380
02/06/2020,490,490
03/06/2020,390,390
04/06/2020,390,390
05/06/2020,510,510
06/06/2020,570,570
07/06/2020,380,380
08/06/2020,380,380
09/06/2020,500,500
10/06/2020,450,450
11/06/2020,560,560
12/06/2020,480,480
13/06/2020,340,340
14/06/2020,360,360
15/06/2020,340,340
16/06/2020,430,430
17/06/2020,590,590
18/06/2020,490,490
19/06/2020,670,670
20/06/2020,480,480
21/06/2020,170,170
22/06/2020,460,460
23/06/2020,510,510
24/06/2020,280,280
25/06/2020,390,390
26/06/2020,510,510
27/06/2020,620,620
28/06/2020,420,420
29/06/2020,430,430
30/06/2020,500,500
01/07/2020,540,540
02/07/2020,630,630
03/07/2020,630,630
04/07/2020,610,610
05/07/2020,460,460
06/07/2020,440,440
07/07/2020,630,630
08/07/2020,490,490
09/07/2020,450,450
10/07/2020,350,350
11/07/2020,440,440
12/07/2020,620,620
13/07/2020,330,330
14/07/2020,390,390
15/07/2020,610,610
16/07/2020,600,600
17/07/2020,390,390
18/07/2020,340,340
19/07/2020,260,260
20/07/2020,450,450
21/07/2020,630,630
22/07/2020,590,590
23/07/2020,410,410
24/07/2020,1130,1130
25/07/2020,580,580
26/07/2020,250,250
27/07/2020,280,280
28/07/2020,480,480
29/07/2020,180,180
30/07/2020,360,360
31/07/2020,310,310
01/08/2020,300,300
02/08/2020,230,230
03/08/2020,340,340
04/08/2020,330,330
05/08/2020,430,430
06/08/2020,200,200
07/08/2020,430,430
08/08/2020,360,360
09/08/2020,280,280
10/08/2020,340,340
11/08/2020,540,540
12/08/2020,560,560
13/08/2020,1030,1030
14/08/2020,1660,1660
15/08/2020,2790,2790
16/08/2020,1970,1970
17/08/2020,2460,2460
18/08/2020,2970,2970
19/08/2020,2880,2880
20/08/2020,3240,3240
21/08/2020,3320,3320
22/08/2020,3970,3970
23/08/2020,2660,2660
24/08/2020,2800,2800
25/08/2020,3200,3200
26/08/2020,4410,4410
27/08/2020,3710,3710
28/08/2020,3230,3230
29/08/2020,2990,2990
30/08/2020,2480,2480
31/08/2020,2350,2350
01/09/2020,2670,2670
02/09/2020,1950,1950
03/09/2020,1980,1980
04/09/2020,1680,1680
05/09/2020,1670,1670
06/09/2020,1190,1190
07/09/2020,1360,1360
08/09/2020,1560,1560
09/09/2020,1550,1550
10/09/2020,1760,1760
11/09/2020,1360,1360
12/09/2020,1210,1210
13/09/2020,1090,1090
14/09/2020,1060,1060
15/09/2020,1130,1130
