date;Germany;
22/01/2020;;0
23/01/2020;;0
24/01/2020;;0
25/01/2020;;0
26/01/2020;;0
27/01/2020;1;1.20135E-08
28/01/2020;3;3.60404E-08
29/01/2020;0;0
30/01/2020;0;0
31/01/2020;1;1.20135E-08
01/02/2020;3;3.60404E-08
02/02/2020;2;2.40269E-08
03/02/2020;2;2.40269E-08
04/02/2020;0;0
05/02/2020;0;0
06/02/2020;0;0
07/02/2020;1;1.20135E-08
08/02/2020;0;0
09/02/2020;1;1.20135E-08
10/02/2020;0;0
11/02/2020;2;2.40269E-08
12/02/2020;0;0
13/02/2020;0;0
14/02/2020;0;0
15/02/2020;0;0
16/02/2020;0;0
17/02/2020;0;0
18/02/2020;0;0
19/02/2020;0;0
20/02/2020;0;0
21/02/2020;0;0
22/02/2020;0;0
23/02/2020;0;0
24/02/2020;0;0
25/02/2020;0;0
26/02/2020;5;6.00673E-08
27/02/2020;5;6.00673E-08
28/02/2020;27;3.24363E-07
29/02/2020;13;1.56175E-07
01/03/2020;51;6.12686E-07
02/03/2020;33;3.96444E-07
03/03/2020;38;4.56511E-07
04/03/2020;52;6.247E-07
05/03/2020;109;1.30947E-06
06/03/2020;185;2.22249E-06
07/03/2020;150;1.80202E-06
08/03/2020;163;1.95819E-06
09/03/2020;265;3.18357E-06
10/03/2020;184;2.21048E-06
11/03/2020;271;3.25565E-06
12/03/2020;802;9.63479E-06
13/03/2020;693;8.32532E-06
14/03/2020;733;8.80586E-06
15/03/2020;1043;1.253E-05
16/03/2020;1174;1.41038E-05
17/03/2020;1144;1.37434E-05
18/03/2020;1042;1.2518E-05
19/03/2020;2801;3.36497E-05
20/03/2020;2958;3.55358E-05
21/03/2020;2705;3.24964E-05
22/03/2020;1948;2.34022E-05
23/03/2020;4062;4.87987E-05
24/03/2020;4764;5.72321E-05
25/03/2020;4118;4.94714E-05
26/03/2020;4954;5.95147E-05
27/03/2020;5780;6.94378E-05
28/03/2020;6294;7.56127E-05
29/03/2020;3965;4.76333E-05
30/03/2020;4751;5.70759E-05
31/03/2020;4615;5.54421E-05
01/04/2020;5453;6.55094E-05
02/04/2020;6156;7.39548E-05
03/04/2020;6174;7.41711E-05
04/04/2020;6082;7.30658E-05
05/04/2020;5936;7.13119E-05
06/04/2020;3677;4.41735E-05
07/04/2020;3834;4.60596E-05
08/04/2020;4003;4.80899E-05
09/04/2020;4974;5.97549E-05
10/04/2020;5323;6.39476E-05
11/04/2020;4133;4.96516E-05
12/04/2020;2821;3.389E-05
13/04/2020;2537;3.04781E-05
14/04/2020;2082;2.5012E-05
15/04/2020;2486;2.98654E-05
16/04/2020;2866;3.44306E-05
17/04/2020;3380;4.06055E-05
18/04/2020;3609;4.33566E-05
19/04/2020;2458;2.95291E-05
20/04/2020;1775;2.13239E-05
21/04/2020;1785;2.1444E-05
22/04/2020;2237;2.68741E-05
23/04/2020;2352;2.82556E-05
24/04/2020;2337;2.80754E-05
25/04/2020;2055;2.46877E-05
26/04/2020;1737;2.08674E-05
27/04/2020;1018;1.22297E-05
28/04/2020;1144;1.37434E-05
29/04/2020;1304;1.56655E-05
30/04/2020;1478;1.77559E-05
01/05/2020;1639;1.96901E-05
02/05/2020;945;1.13527E-05
03/05/2020;793;9.52667E-06
04/05/2020;679;8.15714E-06
05/05/2020;685;8.22922E-06
06/05/2020;947;1.13767E-05
07/05/2020;1284;1.54253E-05
08/05/2020;1209;1.45243E-05
09/05/2020;1251;1.50288E-05
10/05/2020;667;8.01297E-06
11/05/2020;357;4.2888E-06
12/05/2020;933;1.12086E-05
13/05/2020;798;9.58674E-06
14/05/2020;933;1.12086E-05
15/05/2020;913;1.09683E-05
16/05/2020;620;7.44834E-06
17/05/2020;583;7.00384E-06
18/05/2020;342;4.1086E-06
19/05/2020;513;6.1629E-06
20/05/2020;797;9.57472E-06
21/05/2020;745;8.95002E-06
22/05/2020;460;5.52619E-06
23/05/2020;638;7.66458E-06
24/05/2020;431;5.1778E-06
25/05/2020;289;3.47189E-06
26/05/2020;432;5.18981E-06
27/05/2020;362;4.34887E-06
28/05/2020;353;4.24075E-06
29/05/2020;741;8.90197E-06
30/05/2020;738;8.86593E-06
31/05/2020;286;3.43585E-06
01/06/2020;333;4.00048E-06
02/06/2020;213;2.55887E-06
03/06/2020;342;4.1086E-06
04/06/2020;394;4.7333E-06
05/06/2020;507;6.09082E-06
06/06/2020;407;4.88948E-06
07/06/2020;301;3.61605E-06
08/06/2020;214;2.57088E-06
09/06/2020;350;4.20471E-06
10/06/2020;318;3.82028E-06
11/06/2020;555;6.66747E-06
12/06/2020;258;3.09947E-06
13/06/2020;348;4.18068E-06
14/06/2020;247;2.96732E-06
15/06/2020;192;2.30658E-06
16/06/2020;378;4.54109E-06
17/06/2020;345;4.14464E-06
18/06/2020;580;6.9678E-06
19/06/2020;770;9.25036E-06
20/06/2020;601;7.22009E-06
21/06/2020;687;8.25324E-06
22/06/2020;537;6.45123E-06
23/06/2020;503;6.04277E-06
24/06/2020;587;7.0519E-06
25/06/2020;630;7.56848E-06
26/06/2020;477;5.73042E-06
27/06/2020;687;8.25324E-06
28/06/2020;256;3.07544E-06
29/06/2020;262;3.14753E-06
30/06/2020;498;5.9827E-06
01/07/2020;466;5.59827E-06
02/07/2020;503;6.04277E-06
03/07/2020;446;5.358E-06
04/07/2020;422;5.06968E-06
05/07/2020;239;2.87122E-06
06/07/2020;219;2.63095E-06
07/07/2020;390;4.68525E-06
08/07/2020;397;4.76934E-06
09/07/2020;442;5.30995E-06
10/07/2020;395;4.74531E-06
11/07/2020;378;4.54109E-06
12/07/2020;248;2.97934E-06
13/07/2020;159;1.91014E-06
14/07/2020;412;4.94954E-06
15/07/2020;351;4.21672E-06
16/07/2020;534;6.41519E-06
17/07/2020;583;7.00384E-06
18/07/2020;529;6.35512E-06
19/07/2020;202;2.42672E-06
20/07/2020;249;2.99135E-06
21/07/2020;522;6.27102E-06
22/07/2020;454;5.45411E-06
